final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour,quant
1396,7,5,12,116.33333333333333,279.2,2792,46.53333333333333,1666666666.6666665,35.81661891117478,3
1226,5,4,9,136.22222222222223,306.5,2452,40.86666666666667,1333333333.3333333,32.62642740619902,3
2654,13,6,19,139.68421052631578,442.3333333333333,5308,88.46666666666667,2000000000,22.607385079125848,5
2052,11,3,14,146.57142857142858,684,4104,68.4,1000000000,14.61988304093567,4
1068,3,6,9,118.66666666666667,178,2136,35.6,2000000000,56.17977528089887,3
1661,4,5,9,184.55555555555554,332.2,3322,55.36666666666667,1666666666.6666665,30.102347983142682,4
1624,6,4,10,162.4,406,3248,54.13333333333333,1333333333.3333333,24.63054187192118,4
1168,9,3,12,97.33333333333333,389.3333333333333,2336,38.93333333333333,1000000000,25.68493150684932,3
645,5,3,8,80.625,215,1290,21.5,1000000000,46.51162790697674,2
1606,6,3,9,178.44444444444446,535.3333333333334,3212,53.53333333333333,1000000000,18.679950186799505,4
877,8,4,12,73.08333333333333,219.25,1754,29.233333333333334,1333333333.3333333,45.61003420752565,2
1633,5,3,8,204.125,544.3333333333334,3266,54.43333333333333,1000000000,18.371096142069813,4
1590,5,4,9,176.66666666666666,397.5,3180,53,1333333333.3333333,25.157232704402514,4
1747,12,3,15,116.46666666666667,582.3333333333334,3494,58.233333333333334,1000000000,17.172295363480252,4
1229,6,5,11,111.72727272727273,245.8,2458,40.96666666666667,1666666666.6666665,40.683482506102514,3
1602,5,7,12,133.5,228.85714285714286,3204,53.4,2333333333.333333,43.69538077403245,4
591,7,3,10,59.1,197,1182,19.7,1000000000,50.76142131979696,2
1697,11,9,20,84.85,188.55555555555554,3394,56.56666666666667,3000000000,53.03476723629935,4
1028,3,3,6,171.33333333333334,342.6666666666667,2056,34.266666666666666,1000000000,29.182879377431906,3
1072,4,3,7,153.14285714285714,357.3333333333333,2144,35.733333333333334,1000000000,27.98507462686567,3
1137,7,3,10,113.7,379,2274,37.9,1000000000,26.385224274406333,3
781,6,4,10,78.1,195.25,1562,26.033333333333335,1333333333.3333333,51.21638924455825,2
2496,8,4,12,208,624,4992,83.2,1333333333.3333333,16.025641025641026,4
1013,5,4,9,112.55555555555556,253.25,2026,33.766666666666666,1333333333.3333333,39.48667324777887,3
