final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour
1205,14,13,27,44.629629629629626,92.6923076923077,6025,100.41666666666667,13000000000,129.46058091286307
625,12,3,15,41.666666666666664,208.33333333333334,3125,52.083333333333336,3000000000,57.6
792,12,9,21,37.714285714285715,88,3960,66,9000000000,136.36363636363637
588,15,3,18,32.666666666666664,196,2940,49,3000000000,61.224489795918366
264,9,3,12,22,88,1320,22,3000000000,136.36363636363637
1251,13,9,22,56.86363636363637,139,6255,104.25,9000000000,86.33093525179855
438,4,5,9,48.666666666666664,87.6,2190,36.5,5000000000,136.986301369863
413,7,4,11,37.54545454545455,103.25,2065,34.416666666666664,4000000000,116.2227602905569
575,8,3,11,52.27272727272727,191.66666666666666,2875,47.916666666666664,3000000000,62.608695652173914
698,10,9,19,36.73684210526316,77.55555555555556,3490,58.166666666666664,9000000000,154.72779369627509
290,4,3,7,41.42857142857143,96.66666666666667,1450,24.166666666666668,3000000000,124.13793103448275
1165,14,11,25,46.6,105.9090909090909,5825,97.08333333333333,11000000000,113.30472103004291
825,5,7,12,68.75,117.85714285714286,4125,68.75,7000000000,101.81818181818181
1064,12,8,20,53.2,133,5320,88.66666666666667,8000000000,90.22556390977444
1140,20,9,29,39.310344827586206,126.66666666666667,5700,95,9000000000,94.73684210526316
187,3,4,7,26.714285714285715,46.75,935,15.583333333333334,4000000000,256.68449197860963
414,5,4,9,46,103.5,2070,34.5,4000000000,115.94202898550725
687,10,3,13,52.84615384615385,229,3435,57.25,3000000000,52.40174672489083
1023,13,3,16,63.9375,341,5115,85.25,3000000000,35.19061583577712
507,11,3,14,36.214285714285715,169,2535,42.25,3000000000,71.0059171597633
677,13,3,16,42.3125,225.66666666666666,3385,56.416666666666664,3000000000,53.17577548005909
565,11,3,14,40.357142857142854,188.33333333333334,2825,47.083333333333336,3000000000,63.716814159292035
620,14,4,18,34.44444444444444,155,3100,51.666666666666664,4000000000,77.41935483870968
818,7,4,11,74.36363636363636,204.5,4090,68.16666666666667,4000000000,58.67970660146699
598,9,4,13,46,149.5,2990,49.833333333333336,4000000000,80.2675585284281
1059,15,3,18,58.833333333333336,353,5295,88.25,3000000000,33.994334277620396
586,10,4,14,41.857142857142854,146.5,2930,48.833333333333336,4000000000,81.91126279863481
